reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	MoA	1.465438
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Native-Sparse-Attention	6.533354
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	QR	0.728979
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	RRR	0.907838
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	RSR-Core	0.715266
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Random_access_Retrieval-5	1.025778
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Rankit-Askit	1.551310
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Reg-Min-Rep	1.440837
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	Trojan-LLM	3.021456
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	adv_res_paper	1.418844
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	auto-relate	0.720738
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	axolotl	1.147030
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	divergent-thinking	3.740877
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	eff-approx-query	0.609217
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	exp-ranking	1.324706
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	fairRQ	2.184764
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	local-stab-ranking	0.618945
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	mm-mlp	1.504784
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	multi-agent-collab	1.184433
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	query-refine	0.598913
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	ranked-ret	0.563706
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	reg-ratio	0.325715
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	requal	0.706602
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	shapley	1.079388
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	synthesize-score	2.428030
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	uncertainty-LLM	1.834290
Sonnet-4.6	kl_divergence	KL	qwen2.5:3b	unf-prms	0.755808
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	AFD	0.667720
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	AlgorithmicCollectiveAction	1.073621
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Corba-LLM	0.359839
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	DyLAN	0.391522
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Dynamic-role-MA-LLM	6.758754
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Dynamic_Necklace_Splitting	2.010115
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Efficient-MM-Algo	12.922940
